Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10 uF,0805,99.303,-68.6183,-90,top
C2,10 uF,0805,113.7743,-69.6112,90,top
C3,100 nF,0805,100.584,-61.722,180,top
C4,100 nF,0805,110.9472,-69.6112,-90,top
C5,2.2 uF,0805,125.476,-71.1454,90,top
C6,2.2 uF,0805,125.476,-66.2076,-90,top
C7,100 nF,0805,119.4968,-60.96,180,top
C8,10 uF,0805,119.4968,-63.4746,180,top
C9,2.2 nF,0805,130.556,-68.453,90,top
C10,2.2 nF,0805,135.6106,-68.453,90,top
C11,22uF,0805,105.664,-70.104,180,top
C12,22uF,0805,105.664,-67.818,180,top
C13,47 pF,0805,95.6564,-60.96,0,top
L1,6.8uH,"SMD,5.2x5.7mm,5030",105.918,-63.246,0,top
R1,470,0805,130.5306,-72.5049,-90,top
R2,470,0805,135.5598,-72.5049,-90,top
R3,1k,0805,125.6557,-60.1218,0,top
R4,1k,0805,100.6856,-77.9545,90,top
R5,169k,0805,95.6564,-63.6016,0,top
R6,30.1k,0805,95.4532,-68.6308,-90,top
U1,PCM5102,TSSOP-20_4.4x6.5mm_P0.65mm,119.5324,-68.6308,180,top
U3,AP63301,TSOT-23-6,100.3499,-64.8439,0,top
